venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Barabati Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir","Sandeep Sharma,MG Johnson,AR Patel",55
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,"AJ Finch,S Dhawan,KL Rahul","CJ Anderson,JJ Bumrah,Harbhajan Singh,SL Malinga,PP Ojha",43
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons,CM Gautam,AT Rayudu","DW Steyn,B Kumar,IK Pathan",38
JSCA International Stadium Complex,1,Rajasthan Royals,Chennai Super Kings,"Ankit Sharma,SR Watson","S Badree,IC Pandey,MM Sharma,R Ashwin",42
JSCA International Stadium Complex,2,Chennai Super Kings,Rajasthan Royals,"DR Smith,BB McCullum,SK Raina,F du Plessis","Ankit Sharma,JP Faulkner,PV Tambe,KK Cooper",48
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,PA Patel,V Kohli","JP Duminy,Mohammed Shami,S Kaul,R Shukla",34
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"M Vijay,Q de Kock,MA Agarwal,KP Pietersen","M Muralitharan,MA Starc,AN Ahmed,YS Chahal",46
Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,"LMP Simmons,CM Gautam,AT Rayudu,RG Sharma","M Morkel,UT Yadav,Shakib Al Hasan,SP Narine",37
Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa,G Gambhir","SL Malinga,JJ Bumrah,Harbhajan Singh,PP Ojha",45
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"AJ Finch,S Dhawan","Sandeep Sharma,MG Johnson",55
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"V Sehwag,WP Saha,M Vohra","B Kumar,DW Steyn,MC Henriques,KV Sharma",86
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,"AM Rahane,KK Nair,KK Cooper","JP Duminy,R Shukla,S Kaul,S Nadeem",52
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,"KP Pietersen,MA Agarwal,KD Karthik,JP Duminy","DS Kulkarni,BCJ Cutting,JP Faulkner,KK Cooper",34
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"AJ Finch,S Dhawan,NV Ojha","M Morkel,UT Yadav,SP Narine",41
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir,MK Pandey","B Kumar,DW Steyn,KV Sharma,DJG Sammy",30
JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith,BB McCullum,DJ Hussey,SK Raina","M Muralitharan,MA Starc,VR Aaron,AN Ahmed",39
JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle,PA Patel,V Kohli","MM Sharma,R Ashwin,S Badree",17
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"M Vijay,KP Pietersen,KD Karthik","Sandeep Sharma,BE Hendricks,AR Patel",55
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"V Sehwag,M Vohra","WD Parnell,Mohammed Shami,JD Unadkat",66
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"MEK Hussey,LMP Simmons","Ankit Sharma,DS Kulkarni,JP Faulkner,KK Cooper",42
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"KK Nair,UBT Chand,SR Watson,SV Samson","JJ Bumrah,K Santokie,PP Ojha,KA Pollard",47
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,PA Patel,V Kohli,Yuvraj Singh","B Kumar,DW Steyn,Parvez Rasool,KV Sharma",25
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan,DA Warner","M Muralitharan,MA Starc,VR Aaron,AN Ahmed",51
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith,BB McCullum,SK Raina","Shakib Al Hasan,PJ Cummins,UT Yadav,SP Narine",35
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"RV Uthappa,G Gambhir","BW Hilfenhaus,IC Pandey,MM Sharma,R Ashwin",52
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"V Sehwag,M Vohra,SE Marsh","P Kumar,K Santokie,JJ Bumrah,PP Ojha",48
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"LMP Simmons,MEK Hussey","Sandeep Sharma,BE Hendricks,AR Patel,R Dhawan",62
JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith,F du Plessis,SK Raina","B Kumar,DW Steyn,KV Sharma,Parvez Rasool",60
JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner,S Dhawan","MM Sharma,R Ashwin,JW Hastings",64
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa,G Gambhir,MK Pandey,YK Pathan","MA Starc,AB Dinda,AN Ahmed,M Muralitharan",45
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,YV Takawale,V Kohli","M Morkel,UT Yadav,SP Narine",36
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"LMP Simmons,MEK Hussey","WD Parnell,S Kaul,JD Unadkat,S Nadeem",65
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"M Vijay,KP Pietersen,KD Karthik","JJ Bumrah,M de Lange,PP Ojha,S Gopal",47
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"V Sehwag,M Vohra,SE Marsh","VS Malik,SR Watson,JP Faulkner,KK Cooper",53
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"AM Rahane,KK Nair,SV Samson","L Balaji,BE Hendricks,R Dhawan,AR Patel",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"RR Rossouw,YV Takawale,VH Zol,V Kohli,Yuvraj Singh","A Nehra,S Badree,R Ashwin,MM Sharma",34
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith,F du Plessis,SK Raina","SB Jakati,R Rampaul,MA Starc",64
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner,NV Ojha,S Dhawan","M Morkel,R Vinay Kumar,SP Narine",49
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir,MK Pandey","B Kumar,DW Steyn,JO Holder",49
Wankhede Stadium,1,Rajasthan Royals,Mumbai Indians,"SR Watson,SV Samson","CJ Anderson,JJ Bumrah,PP Ojha,Harbhajan Singh",35
Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,"LMP Simmons,MEK Hussey,CJ Anderson,KA Pollard,RG Sharma","JP Faulkner,DS Kulkarni,SR Watson,KK Cooper",71
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"KP Pietersen,MA Agarwal,KD Karthik,KM Jadhav","P Awana,AR Patel,MG Johnson",44
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"V Sehwag,M Vohra,GJ Maxwell,DA Miller","Mohammed Shami,JD Unadkat,JDS Neesham",48
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir,MK Pandey","P Awana,MG Johnson,AR Patel,R Dhawan",55
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"V Sehwag,M Vohra,WP Saha","M Morkel,UT Yadav,SP Narine,Shakib Al Hasan",46
Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons,MEK Hussey","A Nehra,IC Pandey,MM Sharma",53
Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith,F du Plessis","P Kumar,CJ Anderson,JJ Bumrah",60
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,"V Sehwag,M Vohra","A Nehra,IC Pandey,MM Sharma",70
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"DR Smith,F du Plessis,SK Raina","MG Johnson,Sandeep Sharma,P Awana",100
M Chinnaswamy Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"V Sehwag,M Vohra,GJ Bailey,WP Saha","M Morkel,UT Yadav,SP Narine",32
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir,MK Pandey","MG Johnson,L Balaji,P Awana",59
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay,WP Saha,V Sehwag,GJ Maxwell,GJ Bailey","UT Yadav,M Morkel,AD Russell",48
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir,MK Pandey,SA Yadav","Sandeep Sharma,Anureet Singh,MG Johnson",53
"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,"DR Smith,BB McCullum,SK Raina,F du Plessis","Ankit Sharma,CH Morris,PV Tambe,DJ Hooda,JP Faulkner",39
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,"AM Rahane,SR Watson","IC Pandey,A Nehra,MM Sharma",47
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"LMP Simmons,PA Patel","Iqbal Abdulla,VR Aaron,AN Ahmed,D Wiese",48
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle,MS Bisla,V Kohli","MJ McClenaghan,SL Malinga,Harbhajan Singh,JJ Bumrah",33
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"MA Agarwal,SS Iyer,JP Duminy,MK Tiwary","UT Yadav,M Morkel,SP Narine,AD Russell",34
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa,G Gambhir,MK Pandey,SA Yadav","DJ Muthuswami,NM Coulter-Nile,AD Mathews",48
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kings XI Punjab,"AM Rahane,SR Watson","Sandeep Sharma,Anureet Singh,MG Johnson",43
"Sardar Patel Stadium, Motera",2,Kings XI Punjab,Rajasthan Royals,"M Vijay,V Sehwag,SE Marsh","CH Morris,STR Binny,JP Faulkner,PV Tambe",40
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan,DA Warner","J Botha,M Morkel,SP Narine",43
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir,MK Pandey","DW Steyn,B Kumar,P Kumar,KV Sharma,MC Henriques",49
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith,BB McCullum,SK Raina","MA Starc,YS Chahal,HV Patel,D Wiese",45
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"MS Bisla,RR Rossouw,V Kohli,KD Karthik","IC Pandey,A Nehra,MM Sharma",38
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"MA Agarwal,SS Iyer,JP Duminy","MJ McClenaghan,SL Malinga,JJ Bumrah,Harbhajan Singh",45
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"LMP Simmons,PA Patel,UBT Chand","NM Coulter-Nile,DJ Muthuswami,JP Duminy,AD Mathews",48
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane,SR Watson,KK Nair","MA Starc,Iqbal Abdulla,HV Patel,YS Chahal",48
"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle,V Kohli,AB de Villiers","CH Morris,DS Kulkarni,SR Watson,JP Faulkner",49
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"RG Sharma,AJ Finch,AP Tare,AT Rayudu,CJ Anderson","UT Yadav,M Morkel,Shakib Al Hasan",37
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa,G Gambhir,MK Pandey","SL Malinga,R Vinay Kumar,CJ Anderson,JJ Bumrah",38
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"DR Smith,BB McCullum,SK Raina,F du Plessis","JA Morkel,NM Coulter-Nile,DJ Muthuswami",59
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"MA Agarwal,CM Gautam,JA Morkel,SS Iyer,KM Jadhav","A Nehra,MM Sharma",40
Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Kings XI Punjab,"AM Rahane,SV Samson,SPD Smith,KK Nair","Sandeep Sharma,Anureet Singh,AR Patel",35
Maharashtra Cricket Association Stadium,2,Kings XI Punjab,Rajasthan Royals,"V Sehwag,WP Saha,M Vijay,GJ Maxwell","TG Southee,CH Morris,DS Kulkarni,JP Faulkner",51
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa,G Gambhir","SA Abbott,HV Patel,VR Aaron,AN Ahmed",53
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,V Kohli,KD Karthik","M Morkel,SP Narine,KC Cariappa",41
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith,BB McCullum","B Kumar,TA Boult,I Sharma,KV Sharma",49
"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner,S Dhawan,KL Rahul","A Nehra,MM Sharma",46
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"MA Agarwal,SS Iyer,JP Duminy","TG Southee,CH Morris,DS Kulkarni,PV Tambe,DJ Hooda",51
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"AM Rahane,SV Samson,SPD Smith","JD Unadkat,NM Coulter-Nile,AD Mathews",42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"M Vijay,V Sehwag","R Vinay Kumar,P Suyal,SL Malinga",57
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"RG Sharma,AP Tare,AJ Finch,AT Rayudu,CJ Anderson","Sandeep Sharma,Anureet Singh,MG Johnson",17
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,V Kohli,KD Karthik","TA Boult,B Kumar,P Kumar",47
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan","SA Abbott,HV Patel,VR Aaron,AN Ahmed",65
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"AJ Finch,PA Patel,UBT Chand,RG Sharma","TG Southee,CH Morris,DS Kulkarni,STR Binny",31
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"AM Rahane,SV Samson,SPD Smith","R Vinay Kumar,P Suyal,SL Malinga",42
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"M Vijay,V Sehwag,WP Saha","NM Coulter-Nile,DJ Muthuswami,AD Mathews",41
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"MA Agarwal,SS Iyer,JP Duminy","Sandeep Sharma,Anureet Singh,MG Johnson",47
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"DA Warner,S Dhawan,KL Rahul,EJG Morgan","TG Southee,CH Morris,DJ Hooda,DS Kulkarni",35
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane,SV Samson","B Kumar,TA Boult,P Kumar",36
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons,PA Patel,CJ Anderson,RG Sharma,Harbhajan Singh","A Nehra,IC Pandey,MM Sharma",31
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith,BB McCullum","P Suyal,SL Malinga,J Suchith,Harbhajan Singh",90
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"MA Agarwal,SS Iyer,JP Duminy","P Kumar,DW Steyn,B Kumar",40
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner,S Dhawan","NM Coulter-Nile,JP Duminy,DJ Muthuswami,AD Mathews",50
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons,PA Patel,UBT Chand","TA Boult,B Kumar,DW Steyn",46
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan,DA Warner","Harbhajan Singh,MJ McClenaghan,SL Malinga",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"DR Smith,BB McCullum,SK Raina","Karanveer Singh,Sandeep Sharma,Anureet Singh,MG Johnson",54
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"M Vijay,V Sehwag,SE Marsh,GJ Bailey","IC Pandey,A Nehra,MM Sharma",39
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"MA Agarwal,SS Iyer,JP Duminy,Yuvraj Singh","MA Starc,VR Aaron,HV Patel,D Wiese",38
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,V Kohli","NM Coulter-Nile,DJ Muthuswami,Imran Tahir,JP Duminy",50
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner,S Dhawan,GH Vihari","Sandeep Sharma,MG Johnson,Anureet Singh",56
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay,M Vohra,SE Marsh,GJ Bailey","TA Boult,B Kumar,P Kumar",36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith,BB McCullum,SK Raina","PJ Cummins,UT Yadav,PP Chawla",53
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"RV Uthappa,G Gambhir,MK Pandey,SA Yadav","IC Pandey,A Nehra,MM Sharma,R Ashwin",54
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith,SK Raina,BB McCullum,F du Plessis,DJ Bravo","PJ Cummins,UT Yadav,PP Chawla,GB Hogg",69
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"RV Uthappa,G Gambhir,MK Pandey","MM Sharma,A Nehra",38
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle,AB de Villiers,V Kohli,Mandeep Singh","TG Southee,DS Kulkarni,JP Faulkner,SR Watson",52
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"V Sehwag,SE Marsh,M Vohra,WP Saha,GJ Bailey,DA Miller","Z Khan,JP Duminy,NM Coulter-Nile",227
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"MA Agarwal,SS Iyer","Sandeep Sharma,SN Thakur,Anureet Singh",41
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"LMP Simmons,PA Patel,UBT Chand","TG Southee,DS Kulkarni,J Theron,SR Watson",47
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane,SR Watson,SV Samson","MJ McClenaghan,SL Malinga,R Vinay Kumar,J Suchith",55
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa,G Gambhir,AD Russell","MA Starc,VR Aaron,HV Patel,D Wiese,YS Chahal",61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,V Kohli,AB de Villiers,Mandeep Singh","PJ Cummins,UT Yadav,GB Hogg,PP Chawla",62
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner,S Dhawan","MM Sharma,A Nehra,RG More",76
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith,BB McCullum,SK Raina,F du Plessis","TA Boult,B Kumar,P Kumar,MC Henriques",54
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"LMP Simmons,PA Patel","Sandeep Sharma,Anureet Singh,MG Johnson,AR Patel",51
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"M Vijay,V Sehwag,GJ Maxwell,DA Miller","MJ McClenaghan,SL Malinga,R Vinay Kumar,J Suchith",45
Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,"AM Rahane,SR Watson","Z Khan,GS Sandhu,NM Coulter-Nile",43
Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,"MA Agarwal,SS Iyer,JP Duminy,Yuvraj Singh","TG Southee,DS Kulkarni,STR Binny,SR Watson",55
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith,BB McCullum,SK Raina","MA Starc,YS Chahal,D Wiese,HV Patel",37
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"NJ Maddinson,V Kohli,AB de Villiers,KD Karthik","IC Pandey,A Nehra,MM Sharma",42
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,G Gambhir","B Kumar,DW Steyn,P Kumar,MC Henriques",55
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner,NV Ojha,S Dhawan,MC Henriques,EJG Morgan","UT Yadav,AD Russell,J Botha,GB Hogg",33
Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,"MA Agarwal,JP Duminy,SS Iyer","SL Malinga,MJ McClenaghan,R Vinay Kumar,Harbhajan Singh",44
Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,"LMP Simmons,HH Pandya,PA Patel,RG Sharma,Harbhajan Singh,AT Rayudu","Z Khan,NM Coulter-Nile,AD Mathews",41
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle,V Kohli","Sandeep Sharma,MG Johnson,Anureet Singh",68
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vijay,M Vohra,WP Saha,GJ Maxwell,DA Miller,GJ Bailey","MA Starc,S Aravind,HV Patel",34
Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"S Dhawan,DA Warner,MC Henriques","DJ Hooda,CH Morris,DS Kulkarni,SR Watson,JP Faulkner",56
Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane,SR Watson,SPD Smith,KK Nair","B Kumar,P Kumar,I Sharma",36
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa,G Gambhir,MK Pandey","Z Khan,JA Morkel,JP Duminy",50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"MK Tiwary,SS Iyer","UT Yadav,AD Russell,SP Narine",36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"DR Smith,BB McCullum,SK Raina","MJ McClenaghan,M de Lange,J Suchith,R Vinay Kumar",44
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"LMP Simmons,PA Patel","R Ashwin,MM Sharma,A Nehra",61
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay,M Vohra","UT Yadav,AD Russell,SP Narine,J Botha",45
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa,G Gambhir,MK Pandey","Sandeep Sharma,BE Hendricks,Anureet Singh,AR Patel",57
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,"S Dhawan,DA Warner,EJG Morgan,MC Henriques","J Yadav,Z Khan,NM Coulter-Nile",41
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock,SS Iyer,JP Duminy","B Kumar,I Sharma,Parvez Rasool,P Kumar",49
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle,V Kohli,AB de Villiers","MJ McClenaghan,SL Malinga,JJ Bumrah,J Suchith",39
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel,LMP Simmons,RG Sharma","MA Starc,S Aravind,D Wiese,HV Patel",45
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,"DR Smith,BB McCullum,SK Raina,F du Plessis","CH Morris,SR Watson,Ankit Sharma,PV Tambe",36
"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,"AM Rahane,SR Watson","A Nehra,MM Sharma",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner,S Dhawan","Sandeep Sharma,Anureet Singh,BE Hendricks,Gurkeerat Singh",56
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay,M Vohra,WP Saha","B Kumar,TA Boult,I Sharma,Bipul Sharma",47
Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,"DR Smith,BB McCullum","S Nadeem,Z Khan",16
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,"Q de Kock,SS Iyer,JP Duminy,Yuvraj Singh","IC Pandey,MM Sharma,R Ashwin",28
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"WP Saha,M Vohra,GJ Maxwell,GJ Bailey,DA Miller,AR Patel","MA Starc,S Aravind,D Wiese,HV Patel,YS Chahal",72
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle,V Kohli,AB de Villiers,Mandeep Singh","Sandeep Sharma,BE Hendricks,Anureet Singh,R Dhawan",61
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"LMP Simmons,PA Patel,RG Sharma","UT Yadav,M Morkel,Shakib Al Hasan",46
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa,G Gambhir,MK Pandey","SL Malinga,MJ McClenaghan,R Vinay Kumar,Harbhajan Singh",50
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner,S Dhawan,MC Henriques","MA Starc,HV Patel,D Wiese,AB Dinda,YS Chahal",68
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik","DW Steyn,B Kumar,MC Henriques,KV Sharma,P Kumar",83
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,"WP Saha,M Vohra,GJ Bailey,GJ Maxwell,Gurkeerat Singh","P Negi,IC Pandey,A Nehra",41
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,"MEK Hussey,BB McCullum,F du Plessis,SK Raina","Sandeep Sharma,BE Hendricks,Gurkeerat Singh,R Dhawan",47
